code,name,date,close,score,ret_3m,ret_3m_6m,ret_6m_9m,ret_9m_12m,price_12m,rs_rating
054630,에이디칩스,2025-12-03,1580.0,1.8,0.0,0.0,0.0,9.0,158.0,99
054180,메디콕스,2025-12-03,2295.0,1.6639892570692185,0.0,8.683544303797468,-0.24281150159744408,-0.12078651685393259,356.0,99
900120,씨엑스아이,2025-12-03,542.0,1.8260413851888606,-0.0829103214890017,9.553571428571429,-0.017543859649122806,-0.24,75.0,99
000650,천일고속,2025-12-03,399000.0,3.4675142751621837,8.614457831325302,0.031055900621118012,0.03470437017994859,0.04289544235924933,37300.0,99
012170,아센디오,2025-12-03,1817.0,3.1915628256312507,-0.17220956719817768,-0.47613365155131265,17.217391304347824,-0.43902439024390244,410.0,99
241820,피씨엘,2025-12-03,6040.0,7.463492063492064,19.0,0.0,-0.20105820105820105,-0.48148148148148145,729.0,99
900110,이스트아시아홀딩스,2025-12-03,1136.0,5.572647001256982,13.753246753246753,0.6382978723404256,-0.0784313725490196,-0.203125,64.0,99
405000,플라즈맵,2025-12-03,6630.0,1.6802505790080802,-0.11006711409395974,-0.32882882882882886,9.03616636528029,-0.0859504132231405,1210.0,99
060230,제이케이시냅스,2025-12-03,2900.0,2.1886206588276935,5.855791962174941,-0.011682242990654205,-0.5196408529741863,-0.23715753424657535,1168.0,99
065170,비엘팜텍,2025-12-03,590.0,2.7629653303306965,-0.17712691771269176,-0.21639344262295082,-0.7256371814092953,15.11111111111111,207.0,99
025560,미래산업,2025-12-03,13610.0,3.094971192355285,0.3137065637065637,15.238244514106583,-0.21331689272503082,-0.17748478701825557,986.0,99
084180,수성웹툰,2025-12-03,3385.0,1.7579779148651098,-0.23589164785553046,-0.134765625,-0.035781544256120526,9.43222003929273,509.0,99
065650,하이퍼코퍼레이션,2025-12-03,2175.0,3.215331275001228,-0.5045558086560364,18.170305676855897,-0.4128205128205128,-0.6717171717171717,1188.0,99
036630,세종텔레콤,2025-12-03,11100.0,2.823794713849101,1.172211350293542,-0.07427536231884058,11.867132867132867,-0.018306636155606407,437.0,99
177350,베셀,2025-12-03,1385.0,0.9490961966022953,0.40609137055837563,-0.005050505050505051,-0.0275049115913556,3.9658536585365853,205.0,98
214610,롤링스톤,2025-12-03,4000.0,1.181932651219548,-0.14893617021276595,-0.28024502297090353,6.886473429951691,-0.39869281045751637,1377.0,98
096350,대창솔루션,2025-12-03,2165.0,1.5723021172093834,3.811111111111111,0.1306532663316583,0.10863509749303621,0.0,359.0,98
448900,한국피아이엠,2025-12-03,62600.0,1.5547159633723957,4.287162162162162,-0.3136231884057971,-0.2973523421588595,-0.18976897689768976,30300.0,98
174900,앱클론,2025-12-03,40700.0,1.1409457768064992,3.0217391304347827,-0.24308152580403888,0.04862745098039216,-0.14429530201342283,14900.0,98
123840,뉴온,2025-12-03,950.0,1.0043217501454227,-0.19011082693947143,0.16484607745779542,-0.13114754098360656,5.368131868131868,182.0,98
049470,비트플래닛,2025-12-03,1205.0,1.440690754159519,-0.6471449487554904,8.279891304347826,0.24745762711864408,-0.029605263157894735,304.0,98
45014K,코오롱모빌리티그룹우,2025-12-03,16530.0,0.9275483133151204,1.7969543147208122,0.8881789137380192,-0.3120879120879121,0.46774193548387094,3100.0,98
376270,에이치이엠파마,2025-12-03,55100.0,0.8676883506110136,1.8682977615825092,-0.16296296296296298,0.26935840707964603,0.49545078577336643,12090.0,98
052300,오션인더블유,2025-12-03,2245.0,1.2576126912089487,-0.2231833910034602,0.09056603773584905,0.019230769230769232,6.624633431085044,341.0,98
215090,솔디펜스,2025-12-03,2590.0,0.8191390073451218,2.3162612035851473,-0.1408140814081408,-0.39601328903654487,0.0,1505.0,98
117670,알파칩스,2025-12-03,8750.0,1.5570614472866764,0.3157894736842105,7.209876543209877,-0.32387312186978295,0.2677248677248677,945.0,98
030530,원익홀딩스,2025-12-03,23900.0,1.000745987077225,1.7502876869965478,0.5407801418439716,0.2995391705069124,0.6628352490421456,2610.0,98
065500,오리엔트정공,2025-12-03,2565.0,0.9085365748019187,-0.12157534246575342,-0.5972413793103448,0.11026033690658499,5.2728146013448605,1041.0,98
108490,로보티즈,2025-12-03,255500.0,1.1144010705612406,1.8107810781078109,0.5975395430579965,0.6516690856313497,0.7012345679012346,20250.0,98
065060,지엔코,2025-12-03,770.0,0.8849877321481381,-0.10256410256410256,-0.43441001977587346,5.166666666666667,-0.10218978102189781,274.0,98
200230,텔콘RF제약,2025-12-03,1072.0,0.8766084771184899,-0.5318777292576419,-0.3264705882352941,-0.16359163591635917,5.936860068259386,586.0,98
007810,코리아써키트,2025-12-03,37200.0,0.9023553912618336,1.9665071770334928,0.22700587084148727,-0.1850079744816587,0.5367647058823529,8160.0,98
900300,오가닉티코스메틱,2025-12-03,351.0,0.9838506181310748,0.017391304347826087,0.06481481481481481,-0.2097560975609756,5.029411764705882,68.0,98
352770,셀레스트라,2025-12-03,5250.0,1.3331439719974754,0.0,0.0,6.094594594594595,0.5711252653927813,471.0,98
051780,큐로홀딩스,2025-12-03,1132.0,1.2737433109031582,0.5256064690026954,-0.08733087330873308,0.0912751677852349,5.313559322033898,118.0,98
437730,삼현,2025-12-03,44900.0,1.0528206402481353,2.150877192982456,0.05790645879732739,-0.07103448275862069,0.9754768392370572,7340.0,98
115180,큐리언트,2025-12-03,32100.0,0.895972209237741,1.5845410628019323,0.13632204940530648,0.7321711568938193,0.4422857142857143,4375.0,98
