code,name,market,is_etp,is_spac,is_preferred
0112X0,마이티 200TR,KOSPI,True,False,False
0113D0,TIMEFOLIO 글로벌탑픽액티브,KOSPI,True,False,False
0113G0,KoAct 미국바이오헬스케어액티브,KOSPI,True,False,False
0113P0,HK 머니마켓액티브,KOSPI,True,False,False
0114X0,RISE 글로벌게임테크TOP3Plus,KOSPI,True,False,False
0115C0,RISE 미국고배당다우존스TOP10,KOSPI,True,False,False
0115D0,KODEX K조선TOP10,KOSPI,True,False,False
0115E0,KODEX 코리아소버린AI,KOSPI,True,False,False
011785,금호석유화학우,KOSPI,False,False,True
0117L0,KODEX 26-12 금융채(AA-이상)액티브,KOSPI,True,False,False
0117V0,TIGER 코리아AI전력기기TOP3플러스,KOSPI,True,False,False
0118S0,SOL 미국넥스트테크TOP10액티브,KOSPI,True,False,False
0118Z0,ACE 미국AI테크핵심산업액티브,KOSPI,True,False,False
0119H0,KODEX 28-12 회사채(AA-이상)액티브,KOSPI,True,False,False
0120J0,BNK 카카오그룹포커스,KOSPI,True,False,False
0120X0,유진 챔피언중단기크레딧 X클래스,KOSPI,True,False,False
012205,계양전기우,KOSPI,False,False,True
0122W0,RISE 26-11 회사채(AA-이상)액티브,KOSPI,True,False,False
0123G0,TIGER 미국AI전력SMR,KOSPI,True,False,False
0123S0,HANARO 26-12 은행채(AA+이상)액티브,KOSPI,True,False,False
0127M0,ACE 미국대형가치주액티브,KOSPI,True,False,False
0127P0,ACE 미국대형성장주액티브,KOSPI,True,False,False
0127R0,RISE 미국AI클라우드인프라,KOSPI,True,False,False
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환,KOSPI,True,False,False
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환,KOSPI,True,False,False
0128D0,PLUS 차이나항셍테크위클리타겟커버드콜,KOSPI,True,False,False
0131A0,SOL 차이나소비트렌드,KOSPI,True,False,False
0131V0,1Q 미국우주항공테크,KOSPI,True,False,False
0131W0,1Q 단기특수은행채액티브,KOSPI,True,False,False
0132D0,KoAct 글로벌K컬처밸류체인액티브,KOSPI,True,False,False
0132H0,KODEX 미국원자력SMR,KOSPI,True,False,False
0132K0,PLUS 테슬라위클리커버드콜채권혼합,KOSPI,True,False,False
0135Y0,ITF 중기종합채권(AA-이상)액티브,KOSPI,True,False,False
0137V0,KIWOOM 미국S&P500모멘텀,KOSPI,True,False,False
0137W0,KIWOOM 미국S&P500&GOLD,KOSPI,True,False,False
0138D0,RISE 동학개미,KOSPI,True,False,False
0138T0,RISE 미국S&P500데일리고정커버드콜,KOSPI,True,False,False
0138Y0,PLUS 금채권혼합,KOSPI,True,False,False
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,KOSPI,True,False,False
0139P0,ACE 고배당주,KOSPI,True,False,False
0141S0,SOL 조선기자재,KOSPI,True,False,False
0141T0,SOL 중기종합채권(AA-이상)액티브,KOSPI,True,False,False
014285,금강공업우,KOSPI,False,False,True
0142D0,TIGER 미국AI데이터센터TOP4Plus,KOSPI,True,False,False
0144L0,KODEX 미국성장커버드콜액티브,KOSPI,True,False,False
0144M0,KODEX 미국드론UAM TOP10,KOSPI,True,False,False
014825,동원시스템즈우,KOSPI,False,False,True
0148J0,TIGER 코리아휴머노이드로봇산업,KOSPI,True,False,False
014915,성문전자우,KOSPI,False,False,True
